method,vulnerability,noise_type,noise_rate,noise_bucket,F1 score,Precision,Recall,Accuracy,TP,TN,FP,FN,noise_sort
ARFL,dos_failed_call,diff_noise,diff,diff,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.75,4,26,8,2,inf
ARFL,dos_failed_call,fn_noise,0.1,0.1,0.42105263157894735,0.3076923076923077,0.6666666666666666,0.725,4,25,9,2,0.1
ARFL,dos_failed_call,fn_noise,0.2,0.2,0.5,0.4,0.6666666666666666,0.8,4,28,6,2,0.2
ARFL,dos_failed_call,fn_noise,0.3,0.3,0.4705882352941177,0.36363636363636365,0.6666666666666666,0.775,4,27,7,2,0.3
ARFL,dos_failed_call,pure,0.0,0.0,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,0.0
ARFL,integer_overflow,diff_noise,diff,diff,0.34210526315789475,0.37142857142857144,0.3170731707317073,0.7983870967741935,13,185,22,28,inf
ARFL,integer_overflow,fn_noise,0.1,0.1,0.4727272727272728,0.37681159420289856,0.6341463414634146,0.7661290322580645,26,164,43,15,0.1
ARFL,integer_overflow,fn_noise,0.2,0.2,0.28125,0.391304347826087,0.21951219512195122,0.8145161290322581,9,193,14,32,0.2
ARFL,integer_overflow,fn_noise,0.3,0.3,0.0,0.0,0.0,0.8346774193548387,0,207,0,41,0.3
ARFL,integer_overflow,pure,0.0,0.0,0.4918032786885245,0.37037037037037035,0.7317073170731707,0.75,30,156,51,11,0.0
ARFL,reentrancy,diff_noise,diff,diff,0.0,0.0,0.0,0.8267326732673267,0,167,2,33,inf
ARFL,reentrancy,fn_noise,0.1,0.1,0.3050847457627119,0.34615384615384615,0.2727272727272727,0.7970297029702971,9,152,17,24,0.1
ARFL,reentrancy,fn_noise,0.2,0.2,0.13043478260869568,0.23076923076923078,0.09090909090909091,0.801980198019802,3,159,10,30,0.2
ARFL,reentrancy,fn_noise,0.3,0.3,0.0,0.0,0.0,0.8366336633663366,0,169,0,33,0.3
ARFL,reentrancy,pure,0.0,0.0,0.4339622641509434,0.3150684931506849,0.696969696969697,0.7029702970297029,23,119,50,10,0.0
ARFL,time_dependency,diff_noise,diff,diff,0.6206896551724138,0.47368421052631576,0.9,0.828125,9,44,10,1,inf
ARFL,time_dependency,fn_noise,0.1,0.1,0.5806451612903225,0.42857142857142855,0.9,0.796875,9,42,12,1,0.1
ARFL,time_dependency,fn_noise,0.2,0.2,0.6153846153846154,0.5,0.8,0.84375,8,46,8,2,0.2
ARFL,time_dependency,fn_noise,0.3,0.3,0.0,0.0,0.0,0.84375,0,54,0,10,0.3
ARFL,time_dependency,pure,0.0,0.0,0.5806451612903225,0.42857142857142855,0.9,0.796875,9,42,12,1,0.0
Ablation_Full,dos_failed_call,fn_noise,0.1,0.1,0.36363636363636365,0.25,0.6666666666666666,0.65,4,22,12,2,0.1
Ablation_Full,dos_failed_call,fn_noise,0.2,0.2,0.3809523809523809,0.26666666666666666,0.6666666666666666,0.675,4,23,11,2,0.2
Ablation_Full,dos_failed_call,fn_noise,0.3,0.3,0.0,0.0,0.0,0.85,0,34,0,6,0.3
Ablation_Full,dos_failed_call,pure,0.0,0.0,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,0.0
Ablation_Full,integer_overflow,fn_noise,0.1,0.1,0.4878048780487805,0.36585365853658536,0.7317073170731707,0.7459677419354839,30,155,52,11,0.1
Ablation_Full,integer_overflow,fn_noise,0.2,0.2,0.4918032786885245,0.37037037037037035,0.7317073170731707,0.75,30,156,51,11,0.2
Ablation_Full,integer_overflow,fn_noise,0.3,0.3,0.4958677685950414,0.375,0.7317073170731707,0.7540322580645161,30,157,50,11,0.3
Ablation_Full,integer_overflow,pure,0.0,0.0,0.2837370242214533,0.16532258064516128,1.0,0.16532258064516128,41,0,207,0,0.0
Ablation_Full,reentrancy,fn_noise,0.1,0.1,0.4144144144144144,0.2948717948717949,0.696969696969697,0.6782178217821783,23,114,55,10,0.1
Ablation_Full,reentrancy,fn_noise,0.2,0.2,0.44230769230769235,0.323943661971831,0.696969696969697,0.7128712871287128,23,121,48,10,0.2
Ablation_Full,reentrancy,fn_noise,0.3,0.3,0.4380952380952381,0.3194444444444444,0.696969696969697,0.7079207920792079,23,120,49,10,0.3
Ablation_Full,reentrancy,pure,0.0,0.0,0.41739130434782606,0.2926829268292683,0.7272727272727273,0.6683168316831684,24,111,58,9,0.0
Ablation_Full,time_dependency,fn_noise,0.1,0.1,0.5806451612903225,0.42857142857142855,0.9,0.796875,9,42,12,1,0.1
Ablation_Full,time_dependency,fn_noise,0.2,0.2,0.5294117647058825,0.375,0.9,0.75,9,39,15,1,0.2
Ablation_Full,time_dependency,fn_noise,0.3,0.3,0.5294117647058825,0.375,0.9,0.75,9,39,15,1,0.3
Ablation_Full,time_dependency,pure,0.0,0.0,0.5625000000000001,0.4090909090909091,0.9,0.78125,9,41,13,1,0.0
Ablation_woLCN,dos_failed_call,fn_noise,0.1,0.1,0.4705882352941177,0.36363636363636365,0.6666666666666666,0.775,4,27,7,2,0.1
Ablation_woLCN,dos_failed_call,fn_noise,0.2,0.2,0.5,0.4,0.6666666666666666,0.8,4,28,6,2,0.2
Ablation_woLCN,dos_failed_call,fn_noise,0.3,0.3,0.42857142857142855,0.375,0.5,0.8,3,29,5,3,0.3
Ablation_woLCN,dos_failed_call,pure,0.0,0.0,0.3809523809523809,0.26666666666666666,0.6666666666666666,0.675,4,23,11,2,0.0
Ablation_woLCN,integer_overflow,fn_noise,0.1,0.1,0.5,0.379746835443038,0.7317073170731707,0.7580645161290323,30,158,49,11,0.1
Ablation_woLCN,integer_overflow,fn_noise,0.2,0.2,0.4716981132075472,0.38461538461538464,0.6097560975609756,0.7741935483870968,25,167,40,16,0.2
Ablation_woLCN,integer_overflow,fn_noise,0.3,0.3,0.0,0.0,0.0,0.8346774193548387,0,207,0,41,0.3
Ablation_woLCN,integer_overflow,pure,0.0,0.0,0.4918032786885245,0.37037037037037035,0.7317073170731707,0.75,30,156,51,11,0.0
Ablation_woLCN,reentrancy,fn_noise,0.1,0.1,0.4367816091954023,0.35185185185185186,0.5757575757575758,0.7574257425742574,19,134,35,14,0.1
